Type, Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,BLEAF101,Ethernet17,10.128.4.57/31,spine,SPINE101,Ethernet3,10.128.4.56/31
l3leaf,BLEAF101,Ethernet18,10.128.4.59/31,spine,SPINE102,Ethernet3,10.128.4.58/31
l3leaf,BLEAF102,Ethernet17,10.128.4.61/31,spine,SPINE101,Ethernet4,10.128.4.60/31
l3leaf,BLEAF102,Ethernet18,10.128.4.63/31,spine,SPINE102,Ethernet4,10.128.4.62/31
l3leaf,LEAF101,Ethernet17,10.128.4.1/31,spine,SPINE101,Ethernet1,10.128.4.0/31
l3leaf,LEAF101,Ethernet18,10.128.4.3/31,spine,SPINE102,Ethernet1,10.128.4.2/31
l3leaf,LEAF102,Ethernet17,10.128.4.5/31,spine,SPINE101,Ethernet2,10.128.4.4/31
l3leaf,LEAF102,Ethernet18,10.128.4.7/31,spine,SPINE102,Ethernet2,10.128.4.6/31
l3leaf,LEAFB101,Ethernet17,10.128.4.9/31,spine,SPINE101,Ethernet5,10.128.4.8/31
l3leaf,LEAFB101,Ethernet18,10.128.4.11/31,spine,SPINE102,Ethernet5,10.128.4.10/31
l3leaf,LEAFB102,Ethernet17,10.128.4.13/31,spine,SPINE101,Ethernet6,10.128.4.12/31
l3leaf,LEAFB102,Ethernet18,10.128.4.15/31,spine,SPINE102,Ethernet6,10.128.4.14/31
