Type, Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,SWOHEBKLEAFDAL101,Ethernet52/1,10.214.4.73/31,spine,SWOHESPINEDAL101,Ethernet13/1,10.214.4.72/31
l3leaf,SWOHEBKLEAFDAL101,Ethernet53/1,10.214.4.75/31,spine,SWOHESPINEDAL102,Ethernet13/1,10.214.4.74/31
l3leaf,SWOHEBKLEAFDAL101,Ethernet54/1,10.214.4.77/31,spine,SWOHESPINEDAL103,Ethernet13/1,10.214.4.76/31
l3leaf,SWOHEBKLEAFDAL102,Ethernet52/1,10.214.4.79/31,spine,SWOHESPINEDAL101,Ethernet14/1,10.214.4.78/31
l3leaf,SWOHEBKLEAFDAL102,Ethernet53/1,10.214.4.81/31,spine,SWOHESPINEDAL102,Ethernet14/1,10.214.4.80/31
l3leaf,SWOHEBKLEAFDAL102,Ethernet54/1,10.214.4.83/31,spine,SWOHESPINEDAL103,Ethernet14/1,10.214.4.82/31
l3leaf,SWOHEBLEAFDAL101,Ethernet52/1,10.214.4.85/31,spine,SWOHESPINEDAL103,Ethernet60/1,10.214.4.84/31
l3leaf,SWOHEBLEAFDAL101,Ethernet53/1,10.214.4.87/31,spine,SWOHESPINEDAL102,Ethernet60/1,10.214.4.86/31
l3leaf,SWOHEBLEAFDAL101,Ethernet54/1,10.214.4.89/31,spine,SWOHESPINEDAL101,Ethernet60/1,10.214.4.88/31
l3leaf,SWOHEBLEAFDAL121,Ethernet28/1,10.214.4.91/31,spine,SWOHESPINEDAL101,Ethernet62/1,10.214.4.90/31
l3leaf,SWOHEBLEAFDAL121,Ethernet29/1,10.214.4.93/31,spine,SWOHESPINEDAL102,Ethernet62/1,10.214.4.92/31
l3leaf,SWOHEBLEAFDAL121,Ethernet30/1,10.214.4.95/31,spine,SWOHESPINEDAL103,Ethernet62/1,10.214.4.94/31
l3leaf,SWOHEBLEAFDAL122,Ethernet28/1,10.214.4.97/31,spine,SWOHESPINEDAL101,Ethernet61/1,10.214.4.96/31
l3leaf,SWOHEBLEAFDAL122,Ethernet29/1,10.214.4.99/31,spine,SWOHESPINEDAL102,Ethernet61/1,10.214.4.98/31
l3leaf,SWOHEBLEAFDAL122,Ethernet30/1,10.214.4.101/31,spine,SWOHESPINEDAL103,Ethernet61/1,10.214.4.100/31
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet25/1,10.214.4.1/31,spine,SWOHESPINEDAL101,Ethernet1/1,10.214.4.0/31
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet26/1,10.214.4.3/31,spine,SWOHESPINEDAL101,Ethernet2/1,10.214.4.2/31
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet27/1,10.214.4.5/31,spine,SWOHESPINEDAL102,Ethernet1/1,10.214.4.4/31
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet28/1,10.214.4.7/31,spine,SWOHESPINEDAL102,Ethernet2/1,10.214.4.6/31
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet29/1,10.214.4.9/31,spine,SWOHESPINEDAL103,Ethernet1/1,10.214.4.8/31
l3leaf,SWOHECLEAFPOD1DAL101,Ethernet30/1,10.214.4.11/31,spine,SWOHESPINEDAL103,Ethernet2/1,10.214.4.10/31
l3leaf,SWOHECLEAFPOD1DAL102,Ethernet25/1,10.214.4.13/31,spine,SWOHESPINEDAL101,Ethernet3/1,10.214.4.12/31
l3leaf,SWOHECLEAFPOD1DAL102,Ethernet26/1,10.214.4.15/31,spine,SWOHESPINEDAL101,Ethernet4/1,10.214.4.14/31
l3leaf,SWOHECLEAFPOD1DAL102,Ethernet27/1,10.214.4.17/31,spine,SWOHESPINEDAL102,Ethernet3/1,10.214.4.16/31
l3leaf,SWOHECLEAFPOD1DAL102,Ethernet28/1,10.214.4.19/31,spine,SWOHESPINEDAL102,Ethernet4/1,10.214.4.18/31
l3leaf,SWOHECLEAFPOD1DAL102,Ethernet29/1,10.214.4.21/31,spine,SWOHESPINEDAL103,Ethernet3/1,10.214.4.20/31
l3leaf,SWOHECLEAFPOD1DAL102,Ethernet30/1,10.214.4.23/31,spine,SWOHESPINEDAL103,Ethernet4/1,10.214.4.22/31
l3leaf,SWOHEHWLEAFPOD1DAL101,Ethernet25/1,10.214.4.25/31,spine,SWOHESPINEDAL101,Ethernet5/1,10.214.4.24/31
l3leaf,SWOHEHWLEAFPOD1DAL101,Ethernet26/1,10.214.4.27/31,spine,SWOHESPINEDAL101,Ethernet6/1,10.214.4.26/31
l3leaf,SWOHEHWLEAFPOD1DAL101,Ethernet27/1,10.214.4.29/31,spine,SWOHESPINEDAL102,Ethernet5/1,10.214.4.28/31
l3leaf,SWOHEHWLEAFPOD1DAL101,Ethernet28/1,10.214.4.31/31,spine,SWOHESPINEDAL102,Ethernet6/1,10.214.4.30/31
l3leaf,SWOHEHWLEAFPOD1DAL101,Ethernet29/1,10.214.4.33/31,spine,SWOHESPINEDAL103,Ethernet5/1,10.214.4.32/31
l3leaf,SWOHEHWLEAFPOD1DAL101,Ethernet30/1,10.214.4.35/31,spine,SWOHESPINEDAL103,Ethernet6/1,10.214.4.34/31
l3leaf,SWOHEHWLEAFPOD1DAL102,Ethernet25/1,10.214.4.37/31,spine,SWOHESPINEDAL101,Ethernet7/1,10.214.4.36/31
l3leaf,SWOHEHWLEAFPOD1DAL102,Ethernet26/1,10.214.4.39/31,spine,SWOHESPINEDAL101,Ethernet8/1,10.214.4.38/31
l3leaf,SWOHEHWLEAFPOD1DAL102,Ethernet27/1,10.214.4.41/31,spine,SWOHESPINEDAL102,Ethernet7/1,10.214.4.40/31
l3leaf,SWOHEHWLEAFPOD1DAL102,Ethernet28/1,10.214.4.43/31,spine,SWOHESPINEDAL102,Ethernet8/1,10.214.4.42/31
l3leaf,SWOHEHWLEAFPOD1DAL102,Ethernet29/1,10.214.4.45/31,spine,SWOHESPINEDAL103,Ethernet7/1,10.214.4.44/31
l3leaf,SWOHEHWLEAFPOD1DAL102,Ethernet30/1,10.214.4.47/31,spine,SWOHESPINEDAL103,Ethernet8/1,10.214.4.46/31
l3leaf,SWOHENFLEAFDAL101,Ethernet49/1,10.214.4.49/31,spine,SWOHESPINEDAL101,Ethernet9/1,10.214.4.48/31
