Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,BLEAF101,Ethernet1,other,BLEAF201,Ethernet1,True
l3leaf,BLEAF101,Ethernet2,other,BLEAF202,Ethernet2,True
l3leaf,BLEAF101,Ethernet3,router,IX_FW,tex-txdc-mpls-01 Te2/1,True
l3leaf,BLEAF101,Ethernet17,spine,SPINE101,Ethernet3,True
l3leaf,BLEAF101,Ethernet18,spine,SPINE102,Ethernet3,True
l3leaf,BLEAF101,Ethernet19,mlag_peer,BLEAF102,Ethernet19,True
l3leaf,BLEAF101,Ethernet20,mlag_peer,BLEAF102,Ethernet20,True
l3leaf,BLEAF102,Ethernet1,other,BLEAF202,Ethernet1,True
l3leaf,BLEAF102,Ethernet2,other,BLEAF201,Ethernet2,True
l3leaf,BLEAF102,Ethernet17,spine,SPINE101,Ethernet4,True
l3leaf,BLEAF102,Ethernet18,spine,SPINE102,Ethernet4,True
l3leaf,BLEAF102,Ethernet19,mlag_peer,BLEAF101,Ethernet19,True
l3leaf,BLEAF102,Ethernet20,mlag_peer,BLEAF101,Ethernet20,True
l3leaf,LEAF101,Ethernet2,server,VPC1,VPC-nic0,True
l3leaf,LEAF101,Ethernet17,spine,SPINE101,Ethernet1,True
l3leaf,LEAF101,Ethernet18,spine,SPINE102,Ethernet1,True
l3leaf,LEAF101,Ethernet19,mlag_peer,LEAF102,Ethernet19,True
l3leaf,LEAF101,Ethernet20,mlag_peer,LEAF102,Ethernet20,True
l3leaf,LEAF102,Ethernet1,server,VPC2,VPC-nic0,True
l3leaf,LEAF102,Ethernet17,spine,SPINE101,Ethernet2,True
l3leaf,LEAF102,Ethernet18,spine,SPINE102,Ethernet2,True
l3leaf,LEAF102,Ethernet19,mlag_peer,LEAF101,Ethernet19,True
l3leaf,LEAF102,Ethernet20,mlag_peer,LEAF101,Ethernet20,True
l3leaf,LEAFB101,Ethernet1,server,VPC1,VPC-nic0,True
l3leaf,LEAFB101,Ethernet17,spine,SPINE101,Ethernet5,True
l3leaf,LEAFB101,Ethernet18,spine,SPINE102,Ethernet5,True
l3leaf,LEAFB101,Ethernet19,mlag_peer,LEAFB102,Ethernet19,True
l3leaf,LEAFB101,Ethernet20,mlag_peer,LEAFB102,Ethernet20,True
l3leaf,LEAFB102,Ethernet1,server,VPC2,VPC-nic0,True
l3leaf,LEAFB102,Ethernet17,spine,SPINE101,Ethernet6,True
l3leaf,LEAFB102,Ethernet18,spine,SPINE102,Ethernet6,True
l3leaf,LEAFB102,Ethernet19,mlag_peer,LEAFB101,Ethernet19,True
l3leaf,LEAFB102,Ethernet20,mlag_peer,LEAFB101,Ethernet20,True
spine,SPINE101,Ethernet1,l3leaf,LEAF101,Ethernet17,True
spine,SPINE101,Ethernet2,l3leaf,LEAF102,Ethernet17,True
spine,SPINE101,Ethernet3,l3leaf,BLEAF101,Ethernet17,True
spine,SPINE101,Ethernet4,l3leaf,BLEAF102,Ethernet17,True
spine,SPINE101,Ethernet5,l3leaf,LEAFB101,Ethernet17,True
spine,SPINE101,Ethernet6,l3leaf,LEAFB102,Ethernet17,True
spine,SPINE102,Ethernet1,l3leaf,LEAF101,Ethernet18,True
spine,SPINE102,Ethernet2,l3leaf,LEAF102,Ethernet18,True
spine,SPINE102,Ethernet3,l3leaf,BLEAF101,Ethernet18,True
spine,SPINE102,Ethernet4,l3leaf,BLEAF102,Ethernet18,True
spine,SPINE102,Ethernet5,l3leaf,LEAFB101,Ethernet18,True
spine,SPINE102,Ethernet6,l3leaf,LEAFB102,Ethernet18,True
