Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,BLEAF201,Ethernet17,10.129.4.57/31,spine,SPINE201,Ethernet5,10.129.4.56/31
l3leaf,BLEAF201,Ethernet18,10.129.4.59/31,spine,SPINE202,Ethernet5,10.129.4.58/31
l3leaf,BLEAF202,Ethernet17,10.129.4.61/31,spine,SPINE201,Ethernet6,10.129.4.60/31
l3leaf,BLEAF202,Ethernet18,10.129.4.63/31,spine,SPINE202,Ethernet6,10.129.4.62/31
l3leaf,LEAFA201,Ethernet17,10.129.4.1/31,spine,SPINE201,Ethernet1,10.129.4.0/31
l3leaf,LEAFA201,Ethernet18,10.129.4.3/31,spine,SPINE202,Ethernet1,10.129.4.2/31
l3leaf,LEAFA202,Ethernet17,10.129.4.5/31,spine,SPINE201,Ethernet2,10.129.4.4/31
l3leaf,LEAFA202,Ethernet18,10.129.4.7/31,spine,SPINE202,Ethernet2,10.129.4.6/31
l3leaf,LEAFB201,Ethernet17,10.129.4.9/31,spine,SPINE201,Ethernet3,10.129.4.8/31
l3leaf,LEAFB201,Ethernet18,10.129.4.11/31,spine,SPINE202,Ethernet3,10.129.4.10/31
l3leaf,LEAFB202,Ethernet17,10.129.4.13/31,spine,SPINE201,Ethernet4,10.129.4.12/31
l3leaf,LEAFB202,Ethernet18,10.129.4.15/31,spine,SPINE202,Ethernet4,10.129.4.14/31
