Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,SWOHEBKLEAFDAL201,Ethernet52/1,spine,SWOHESPINEDAL201,Ethernet13/1
l3leaf,SWOHEBKLEAFDAL201,Ethernet53/1,spine,SWOHESPINEDAL202,Ethernet13/1
l3leaf,SWOHEBKLEAFDAL201,Ethernet54/1,spine,SWOHESPINEDAL203,Ethernet13/1
l3leaf,SWOHEBKLEAFDAL201,Ethernet55/1,mlag_peer,SWOHEBKLEAFDAL202,Ethernet55/1
l3leaf,SWOHEBKLEAFDAL201,Ethernet56/1,mlag_peer,SWOHEBKLEAFDAL202,Ethernet56/1
l3leaf,SWOHEBKLEAFDAL202,Ethernet52/1,spine,SWOHESPINEDAL201,Ethernet14/1
l3leaf,SWOHEBKLEAFDAL202,Ethernet53/1,spine,SWOHESPINEDAL202,Ethernet14/1
l3leaf,SWOHEBKLEAFDAL202,Ethernet54/1,spine,SWOHESPINEDAL203,Ethernet14/1
l3leaf,SWOHEBKLEAFDAL202,Ethernet55/1,mlag_peer,SWOHEBKLEAFDAL201,Ethernet55/1
l3leaf,SWOHEBKLEAFDAL202,Ethernet56/1,mlag_peer,SWOHEBKLEAFDAL201,Ethernet56/1
l3leaf,SWOHEBLEAFDAL201,Ethernet1,,,
l3leaf,SWOHEBLEAFDAL201,Ethernet3,router,IX_FW,tex-txdc-mpls-02 Te2/1
l3leaf,SWOHEBLEAFDAL201,Ethernet4,router,SCUSA_WHITE_PRO,RCH02-11.05-OBM-AGG Twe1/0/48
l3leaf,SWOHEBLEAFDAL201,Ethernet5,router,SCUSA_WHITE_PRO,RCH02-11.05-OBM-AGG Twe2/0/48
l3leaf,SWOHEBLEAFDAL201,Ethernet52/1,spine,SWOHESPINEDAL203,Ethernet60/1
l3leaf,SWOHEBLEAFDAL201,Ethernet53/1,spine,SWOHESPINEDAL202,Ethernet60/1
l3leaf,SWOHEBLEAFDAL201,Ethernet54/1,spine,SWOHESPINEDAL201,Ethernet60/1
l3leaf,SWOHEBLEAFDAL201,Ethernet55/1,other,SWOHEBLEAFDAL101,Ethernet55/1
l3leaf,SWOHEBLEAFDAL201,Ethernet56/1,other,SWOHEBLEAFDAL101,Ethernet56/1
l3leaf,SWOHEBLEAFDAL221,Ethernet28/1,spine,SWOHESPINEDAL203,Ethernet62/1
l3leaf,SWOHEBLEAFDAL221,Ethernet29/1,spine,SWOHESPINEDAL202,Ethernet62/1
l3leaf,SWOHEBLEAFDAL221,Ethernet30/1,spine,SWOHESPINEDAL201,Ethernet62/1
l3leaf,SWOHEBLEAFDAL221,Ethernet31/1,other,SWOHEBLEAFDAL121,Ethernet31/1
l3leaf,SWOHEBLEAFDAL221,Ethernet32/1,other,SWOHEBLEAFDAL121,Ethernet32/1
l3leaf,SWOHEBLEAFDAL222,Ethernet28/1,spine,SWOHESPINEDAL203,Ethernet61/1
l3leaf,SWOHEBLEAFDAL222,Ethernet29/1,spine,SWOHESPINEDAL202,Ethernet61/1
l3leaf,SWOHEBLEAFDAL222,Ethernet30/1,spine,SWOHESPINEDAL201,Ethernet61/1
l3leaf,SWOHEBLEAFDAL222,Ethernet31/1,other,SWOHEBLEAFDAL122,Ethernet31/1
l3leaf,SWOHEBLEAFDAL222,Ethernet32/1,other,SWOHEBLEAFDAL122,Ethernet32/1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet1/1,server,Frame3,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet2/1,server,Frame3,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet3/1,server,Frame2,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet4/1,server,Frame2,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet5/1,server,Frame1,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet6/1,server,Frame1,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet7/1,server,Frame6,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet8/1,server,Frame6,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet9/1,server,Frame5,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet10/1,server,Frame5,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet11/1,server,Frame4,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet12/1,server,Frame4,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet13/1,server,Frame9,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet14/1,server,Frame9,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet15/1,server,Frame8,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet16/1,server,Frame8,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet17/1,server,Frame7,VC6 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet18/1,server,Frame7,VC3 Q1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet25/1,spine,SWOHESPINEDAL201,Ethernet1/1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet26/1,spine,SWOHESPINEDAL201,Ethernet2/1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet27/1,spine,SWOHESPINEDAL202,Ethernet1/1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet28/1,spine,SWOHESPINEDAL202,Ethernet2/1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet29/1,spine,SWOHESPINEDAL203,Ethernet1/1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet30/1,spine,SWOHESPINEDAL203,Ethernet2/1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet31/1,mlag_peer,SWOHECLEAFPOD1DAL202,Ethernet31/1
l3leaf,SWOHECLEAFPOD1DAL201,Ethernet32/1,mlag_peer,SWOHECLEAFPOD1DAL202,Ethernet32/1
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet1/1,server,Frame3,VC6 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet2/1,server,Frame3,VC3 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet3/1,server,Frame2,VC6 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet4/1,server,Frame2,VC3 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet5/1,server,Frame1,VC6 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet6/1,server,Frame1,VC3 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet7/1,server,Frame6,VC6 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet8/1,server,Frame6,VC3 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet9/1,server,Frame5,VC6 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet10/1,server,Frame5,VC3 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet11/1,server,Frame4,VC6 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet12/1,server,Frame4,VC3 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet13/1,server,Frame9,VC6 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet14/1,server,Frame9,VC3 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet15/1,server,Frame8,VC6 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet16/1,server,Frame8,VC3 Q2
l3leaf,SWOHECLEAFPOD1DAL202,Ethernet17/1,server,Frame7,VC6 Q2
